jurisdiction,year,prisoner_count,state_population
ILLINOIS,2007,45215,12852548
INDIANA,2007,25137,6345289
IOWA,2007,8692,2988046
KANSAS,2007,8721,2775997
KENTUCKY,2007,15364,4241474
LOUISIANA,2007,20461,4293204
MAINE,2007,2148,1317207
MARYLAND,2007,23184,5618344
MASSACHUSETTS,2007,11071,6449755
MICHIGAN,2007,50233,10071822
MINNESOTA,2007,9192,5197621
MISSISSIPPI,2007,17478,2918785
MISSOURI,2007,29823,5878415
MONTANA,2007,2909,957861
NEBRASKA,2007,4402,1774571
NEVADA,2007,13311,2565382
NEW HAMPSHIRE,2007,2759,1315828
NEW JERSEY,2007,25354,8685920
NEW MEXICO,2007,6429,1969915
NEW YORK,2007,62738,19297729
NORTH CAROLINA,2007,38240,9061032
NORTH DAKOTA,2007,1392,639715
OHIO,2007,49894,11466917
OKLAHOMA,2007,23778,3617316
OREGON,2007,13373,3747455
PENNSYLVANIA,2007,45530,12432792
RHODE ISLAND,2007,3745,1057832
SOUTH CAROLINA,2007,23578,4407709
SOUTH DAKOTA,2007,3276,796214
TENNESSEE,2007,19268,6156719
TEXAS,2007,158576,23904380
UTAH,2007,5165,2645330
VERMONT,2007,2116,621254
VIRGINIA,2007,32977,7712091
WASHINGTON,2007,16911,6468424
WEST VIRGINIA,2007,4907,1812035
WISCONSIN,2007,22839,5601640
WYOMING,2007,1927,522830
ALABAMA,2008,25363,4661900
ALASKA,2008,4997,686293
ARIZONA,2008,39455,6500180
ARKANSAS,2008,13135,2855390
CALIFORNIA,2008,171085,36756666
COLORADO,2008,23211,4939456
CONNECTICUT,2008,19905,3501252
DELAWARE,2008,6944,873092
FLORIDA,2008,99878,18328340
GEORGIA,2008,52719,9685744
HAWAII,2008,5455,1288198
IDAHO,2008,7033,1523816
ILLINOIS,2008,45474,12901563
INDIANA,2008,26392,6376792
IOWA,2008,8723,3002555
KANSAS,2008,8556,2802134
KENTUCKY,2008,15260,4269245
LOUISIANA,2008,20857,4410796
MAINE,2008,2047,1316456
MARYLAND,2008,23141,5633597
MASSACHUSETTS,2008,11174,6497967
MICHIGAN,2008,48738,10003422
MINNESOTA,2008,9031,5220393
MISSISSIPPI,2008,17896,2938618
MISSOURI,2008,30137,5911605
MONTANA,2008,2910,967440
NEBRASKA,2008,4470,1783432
NEVADA,2008,12877,2600167
NEW HAMPSHIRE,2008,2854,1315809
NEW JERSEY,2008,24835,8682661
NEW MEXICO,2008,6321,1984356
NEW YORK,2008,60198,19490297
NORTH CAROLINA,2008,39957,9222414
NORTH DAKOTA,2008,1379,641481
OHIO,2008,50884,11485910
OKLAHOMA,2008,23676,3642361
OREGON,2008,13541,3790060
PENNSYLVANIA,2008,48736,12448279
RHODE ISLAND,2008,3739,1050788
SOUTH CAROLINA,2008,23685,4479800
SOUTH DAKOTA,2008,3352,804194
TENNESSEE,2008,19379,6214888
TEXAS,2008,159237,24326974
UTAH,2008,5132,2736424
VERMONT,2008,2116,621270
VIRGINIA,2008,32585,7769089
WASHINGTON,2008,17188,6549224
WEST VIRGINIA,2008,4896,1814468
WISCONSIN,2008,22282,5627967
WYOMING,2008,1704,532668
ALABAMA,2009,27241,4708708
ALASKA,2009,5472,698473
ARIZONA,2009,40544,6595778
ARKANSAS,2009,13338,2889450
CALIFORNIA,2009,168830,36961664
COLORADO,2009,22725,5024748
CONNECTICUT,2009,18938,3518288
DELAWARE,2009,6581,885122
FLORIDA,2009,101373,18537969
GEORGIA,2009,53538,9829211
HAWAII,2009,4848,1295178
IDAHO,2009,7184,1545801
ILLINOIS,2009,45161,12910409
INDIANA,2009,26748,6423113
IOWA,2009,8914,3007856
KANSAS,2009,8644,2818747
KENTUCKY,2009,14984,4314113
LOUISIANA,2009,19889,4492076
MAINE,2009,2074,1318301
MARYLAND,2009,22066,5699478
MASSACHUSETTS,2009,11156,6593587
MICHIGAN,2009,45478,9969727
MINNESOTA,2009,9500,5266214
MISSISSIPPI,2009,17212,2951996
MISSOURI,2009,30519,5987580
MONTANA,2009,3085,974989
NEBRASKA,2009,4490,1796619
NEVADA,2009,12570,2643085
NEW HAMPSHIRE,2009,2915,1324575
NEW JERSEY,2009,24115,8707739
NEW MEXICO,2009,6584,2009671
NEW YORK,2009,58479,19541453
NORTH CAROLINA,2009,40133,9380884
NORTH DAKOTA,2009,1436,646844
OHIO,2009,50783,11542645
OKLAHOMA,2009,24053,3687050
OREGON,2009,13735,3825657
PENNSYLVANIA,2009,50485,12604767
RHODE ISLAND,2009,3413,1053209
SOUTH CAROLINA,2009,23685,4561242
SOUTH DAKOTA,2009,3390,812383
TENNESSEE,2009,19932,6296254
TEXAS,2009,158542,24782302
UTAH,2009,5244,2784572
VERMONT,2009,2220,621760
VIRGINIA,2009,30995,7882590
WASHINGTON,2009,17255,6664195
WEST VIRGINIA,2009,5062,1819777
WISCONSIN,2009,22262,5654774
WYOMING,2009,1743,544270
ALABAMA,2010,27345,4785401
ALASKA,2010,5369,714146
ARIZONA,2010,40130,6413158
ARKANSAS,2010,14192,2921588
CALIFORNIA,2010,162821,37338198
COLORADO,2010,22752,5047692
CONNECTICUT,2010,18629,3575498
DELAWARE,2010,6378,899792
FLORIDA,2010,102070,18838613
GEORGIA,2010,52794,9712157
HAWAII,2010,5294,1363359
IDAHO,2010,7235,1571102
ILLINOIS,2010,48418,12841980
INDIANA,2010,27273,6490622
IOWA,2010,9457,3050202
KANSAS,2010,9055,2859143
KENTUCKY,2010,14501,4347223
LOUISIANA,2010,19008,4545343
MAINE,2010,1954,1327379
MARYLAND,2010,22856,5785681
MASSACHUSETTS,2010,11162,6555466
MICHIGAN,2010,44113,9877143
MINNESOTA,2010,9397,5310658
MISSISSIPPI,2010,16454,2970072
MISSOURI,2010,30577,5995715
MONTANA,2010,3137,990958
NEBRASKA,2010,4608,1830141
NEVADA,2010,12192,2704283
NEW HAMPSHIRE,2010,2617,1316807
NEW JERSEY,2010,24488,8799593
NEW MEXICO,2010,6659,2065913
NEW YORK,2010,56420,19395206
NORTH CAROLINA,2010,40375,9560234
NORTH DAKOTA,2010,1416,674629
OHIO,2010,51709,11537968
OKLAHOMA,2010,24147,3760184
OREGON,2010,13859,3838332
PENNSYLVANIA,2010,48087,12717722
RHODE ISLAND,2010,3159,1052528
SOUTH CAROLINA,2010,23009,4637106
SOUTH DAKOTA,2010,3393,816598
TENNESSEE,2010,20037,6357436
TEXAS,2010,160242,25253466
