jurisdiction,year,violent_crime_total,murder_manslaughter,rape_legacy,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft,violent_crime_sum,murder_manslaughter_sum,rape_legacy_sum,robbery_sum,agg_assault_sum,property_crime_sum,burglary_sum,larceny_sum,vehicle_theft_sum,year
NEW JERSEY,2003,31488,406,1288,13342,16452,220350,43457,142287,34606,,,,,,,,,,
NEW MEXICO,2003,12535,116,940,1937,9542,76816,18997,50595,7224,,,,,,,,,,
NEW YORK,2003,89486,934,3775,35790,48987,432079,75453,311422,45204,,,,,,,,,,
NORTH CAROLINA,2003,38243,506,2139,12229,23369,359660,100687,232081,26892,,,,,,,,,,
NORTH DAKOTA,2003,508,9,160,53,286,13364,1959,10327,1078,,,,,,,,,,
OHIO,2003,38185,526,4660,16895,16104,417483,95083,281383,41017,,,,,,,,,,
OKLAHOMA,2003,17758,206,1501,3224,12827,151208,34846,103404,12958,,,,,,,,,,
OREGON,2003,10506,68,1218,2847,6373,169863,28562,122327,18974,,,,,,,,,,
PENNSYLVANIA,2003,49210,647,3556,17980,27027,300639,53918,213279,33442,,,,,,,,,,
RHODE ISLAND,2003,3074,25,505,830,1714,32231,5524,22320,4387,,,,,,,,,,
SOUTH CAROLINA,2003,33455,303,1952,5801,25399,187592,43993,127809,15790,,,,,,,,,,
SOUTH DAKOTA,2003,1329,10,356,104,859,15324,2878,11572,874,,,,,,,,,,
TENNESSEE,2003,40409,396,2129,9413,28471,256565,63323,166769,26473,,,,,,,,,,
TEXAS,2003,122246,1422,8025,37017,75782,1016735,219877,698644,98214,,,,,,,,,,
UTAH,2003,5889,60,919,1258,3652,100084,16961,75321,7802,,,,,,,,,,
VERMONT,2003,707,15,126,62,504,13803,3017,10132,654,,,,,,,,,,
VIRGINIA,2003,20490,416,1807,6713,11554,200449,29105,153367,17977,,,,,,,,,,
WASHINGTON,2003,21272,182,2863,5718,12509,291542,58271,192653,40618,,,,,,,,,,
WEST VIRGINIA,2003,4627,73,311,701,3542,42370,10498,28409,3463,,,,,,,,,,
WISCONSIN,2003,12104,183,1202,4397,6322,157684,26546,118775,12363,,,,,,,,,,
WYOMING,2003,1314,14,136,84,1080,16648,2611,13239,798,,,,,,,,,,
ALABAMA,2004,19324,254,1742,6042,11286,182340,44666,123650,14024,,,,,,,,,,
ALASKA,2004,4159,37,558,447,3117,22172,3773,16159,2240,,,,,,,,,,
ARIZONA,2004,28952,414,1896,7721,18921,291203,56885,179012,55306,,,,,,,,,,
ARKANSAS,2004,13814,176,1183,2372,10083,110911,30151,74242,6518,,,,,,,,,,
CALIFORNIA,2004,189175,2392,9615,61768,115400,1227194,245903,728687,252604,,,,,,,,,,
COLORADO,2004,17121,201,1945,3739,11236,180322,33010,123308,24004,,,,,,,,,,
CONNECTICUT,2004,10113,100,755,4188,5070,93942,15959,66770,11213,,,,,,,,,,
DELAWARE,2004,5105,28,357,1343,3377,27256,5669,19285,2302,,,,,,,,,,
FLORIDA,2004,123754,946,6612,29997,86199,727141,166332,482484,78325,,,,,,,,,,
GEORGIA,2004,40217,613,2387,13656,23561,376656,82992,249426,44238,,,,,,,,,,
HAWAII,2004,3213,33,333,944,1903,60525,10827,41078,8620,,,,,,,,,,
IDAHO,2004,3452,31,594,241,2586,38799,7671,28389,2739,,,,,,,,,,
ILLINOIS,2004,69365,780,4220,22582,41783,403486,76088,287025,40373,,,,,,,,,,
INDIANA,2004,20294,316,1803,6373,11802,211929,42168,148670,21091,,,,,,,,,,
IOWA,2004,8499,44,782,1160,6513,85775,17928,62214,5633,,,,,,,,,,
KANSAS,2004,10330,122,1142,1812,7254,109771,20146,81115,8510,,,,,,,,,,
KENTUCKY,2004,10152,236,1238,3268,5410,105209,25902,70535,8772,,,,,,,,,,
LOUISIANA,2004,28844,574,1616,6564,20090,199153,45359,134080,19714,,,,,,,,,,
MAINE,2004,1364,18,315,289,742,31740,6341,24096,1303,,,,,,,,,,
MARYLAND,2004,38961,521,1317,12772,24351,202474,36704,129888,35882,,,,,,,,,,
MASSACHUSETTS,2004,29489,171,1794,7484,20040,158150,34497,101605,22048,,,,,,,,,,
MICHIGAN,2004,49737,643,5482,11336,32276,309805,64233,194988,50584,,,,,,,,,,
MINNESOTA,2004,13751,113,2123,4070,7445,155019,28048,113453,13518,,,,,,,,,,
MISSISSIPPI,2004,8568,227,1161,2503,4677,100980,27661,65440,7879,,,,,,,,,,
MISSOURI,2004,28226,354,1479,6630,19763,224629,40472,158264,25893,,,,,,,,,,
MONTANA,2004,2723,30,273,233,2187,27215,3515,22082,1618,,,,,,,,,,
NEBRASKA,2004,5393,40,620,1138,3595,61512,9826,46399,5287,,,,,,,,,,
NEVADA,2004,14379,172,954,4905,8348,98215,23142,52438,22635,,,,,,,,,,
NEW HAMPSHIRE,2004,2202,17,466,500,1219,26658,4979,19723,1956,,,,,,,,,,
