jurisdiction,year,violent_crime_total,murder_manslaughter,rape_legacy,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft,violent_crime_sum,murder_manslaughter_sum,rape_legacy_sum,robbery_sum,agg_assault_sum,property_crime_sum,burglary_sum,larceny_sum,vehicle_theft_sum,year
NEBRASKA,2012,4802,52,710,1128,2912,51203,8745,38301,4157,,,,,,,,,,
NEVADA,2012,16763,124,931,4918,10790,77510,22120,45372,10018,,,,,,,,,,
NEW HAMPSHIRE,2012,2841,15,486,471,1869,32074,5988,25024,1062,,,,,,,,,,
NEW JERSEY,2012,25727,388,1035,11385,12919,181481,42338,122662,16481,,,,,,,,,,
NEW MEXICO,2012,11660,116,957,1847,8740,75094,21384,48247,5463,,,,,,,,,,
NEW YORK,2012,79535,683,2837,28633,47382,375268,64389,293562,17317,,,,,,,,,,
NORTH CAROLINA,2012,34464,479,1984,9392,22609,328594,99323,213151,16120,,,,,,,,,,
NORTH DAKOTA,2012,1723,25,279,127,1292,14297,2429,10687,1181,,,,,,,,,,
OHIO,2012,34827,478,3813,15396,15140,370435,105312,245372,19751,,,,,,,,,,
OKLAHOMA,2012,18102,220,1622,3248,13012,130969,36094,83131,11744,,,,,,,,,,
OREGON,2012,9638,91,1159,2419,5969,126417,22051,94114,10252,,,,,,,,,,
PENNSYLVANIA,2012,45384,707,3371,15735,25571,276562,57040,204409,15113,,,,,,,,,,
RHODE ISLAND,2012,2657,36,292,715,1614,27039,5929,18478,2632,,,,,,,,,,
SOUTH CAROLINA,2012,26474,332,1712,4511,19919,181049,45222,122340,13487,,,,,,,,,,
SOUTH DAKOTA,2012,2701,23,600,157,1921,17326,3280,12973,1073,,,,,,,,,,
TENNESSEE,2012,41213,400,2047,8151,30615,217925,56231,148731,12963,,,,,,,,,,
TEXAS,2012,106475,1148,7715,30385,67227,876459,205002,606425,65032,,,,,,,,,,
UTAH,2012,5939,52,975,1105,3807,86284,13095,67157,6032,,,,,,,,,,
VERMONT,2012,891,8,131,114,638,15653,4179,11014,460,,,,,,,,,,
VIRGINIA,2012,15676,322,1505,4718,9131,178434,29651,139654,9129,,,,,,,,,,
WASHINGTON,2012,20553,217,2250,5801,12285,254377,61376,166338,26663,,,,,,,,,,
WEST VIRGINIA,2012,5943,70,415,835,4623,44500,11466,30800,2234,,,,,,,,,,
WISCONSIN,2012,16254,169,1228,4692,10165,140780,27931,104619,8230,,,,,,,,,,
WYOMING,2012,1161,14,154,61,932,13222,2125,10513,584,,,,,,,,,,
ALABAMA,2013,20834,346,1449,4645,13788,161835,42410,108862,10563,,,,,,,,,,
ALASKA,2013,4709,34,657,623,3127,21211,2917,16599,1695,,,,,,,,,,
ARIZONA,2013,27576,355,2344,6656,17391,223294,48292,158036,16966,,,,,,,,,,
ARKANSAS,2013,13705,158,1135,2261,9796,106477,30369,70430,5678,,,,,,,,,,
CALIFORNIA,2013,154739,1746,7464,53640,89029,1018907,232058,621557,165292,,,,,,,,,,
COLORADO,2013,16099,174,2198,3136,9826,139974,25075,102375,12524,,,,,,,,,,
CONNECTICUT,2013,9439,91,647,3551,4906,71274,12934,52099,6241,,,,,,,,,,
DELAWARE,2013,4633,41,278,1233,2960,29001,6299,21347,1355,,,,,,,,,,
FLORIDA,2013,91993,972,4765,23200,61054,607170,138915,433344,34911,,,,,,,,,,
GEORGIA,2013,37519,563,2022,12704,21361,339808,83459,229190,27159,,,,,,,,,,
HAWAII,2013,3585,32,366,934,2111,45266,7777,32928,4561,,,,,,,,,,
IDAHO,2013,3471,29,516,220,2548,30230,6693,21999,1538,,,,,,,,,,
ILLINOIS,2013,51956,722,3895,17733,28161,296048,59093,216059,20896,,,,,,,,,,
INDIANA,2013,23627,357,1623,7114,13915,187472,42754,130534,14184,,,,,,,,,,
IOWA,2013,8443,41,873,937,6332,67976,15918,47803,4255,,,,,,,,,,
KANSAS,2013,9928,117,1003,1339,7177,85704,17476,61557,6671,,,,,,,,,,
KENTUCKY,2013,9280,172,951,3247,4215,104448,26331,72048,6069,,,,,,,,,,
LOUISIANA,2013,24127,494,1248,5539,16331,165679,41214,115300,9165,,,,,,,,,,
MAINE,2013,1761,24,366,335,907,30454,6480,23063,911,,,,,,,,,,
MARYLAND,2013,28235,384,1179,10048,16124,157918,31950,112551,13417,,,,,,,,,,
MASSACHUSETTS,2013,27264,138,1722,6705,18118,137274,30716,97437,9121,,,,,,,,,,
MICHIGAN,2013,44757,625,4506,10093,27254,230135,56256,149794,24085,,,,,,,,,,
MINNESOTA,2013,12710,114,1453,3674,6908,131193,22713,100514,7966,,,,,,,,,,
MISSISSIPPI,2013,8303,217,726,2413,4649,81548,24969,52192,4387,,,,,,,,,,
MISSOURI,2013,26216,369,1679,5486,18056,189655,38797,134514,16344,,,,,,,,,,
MONTANA,2013,2924,23,382,217,2217,26195,4122,20192,1881,,,,,,,,,,
NEBRASKA,2013,4949,56,621,1035,3011,49197,8945,35791,4461,,,,,,,,,,
NEVADA,2013,16888,163,1090,5183,10060,79177,23047,46132,9998,,,,,,,,,,
NEW HAMPSHIRE,2013,2952,21,522,647,1506,29278,4979,23355,944,,,,,,,,,,
NEW JERSEY,2013,25748,404,861,12084,12071,167634,35883,118005,13746,,,,,,,,,,
NEW MEXICO,2013,12990,123,1135,1832,9470,78958,21828,51146,5984,,,,,,,,,,
NEW YORK,2013,77563,644,2575,27241,46130,358603,56444,286676,15483,,,,,,,,,,
NORTH CAROLINA,2013,33587,463,1790,9275,21325,305631,90182,201043,14406,,,,,,,,,,
NORTH DAKOTA,2013,1979,16,288,161,1447,15356,2979,10942,1435,,,,,,,,,,
OHIO,2013,33722,478,3594,14483,14370,338414,91090,227799,19525,,,,,,,,,,
OKLAHOMA,2013,17187,198,1715,3023,11652,126418,33512,81624,11282,,,,,,,,,,
OREGON,2013,9536,82,1000,2394,5596,125083,20808,94363,9912,,,,,,,,,,
PENNSYLVANIA,2013,42825,611,2728,14739,23680,263176,52000,197410,13766,,,,,,,,,,
RHODE ISLAND,2013,2710,31,333,683,1547,25741,5621,17881,2239,,,,,,,,,,
SOUTH CAROLINA,2013,24263,305,1739,3965,17760,173261,40930,119730,12601,,,,,,,,,,
SOUTH DAKOTA,2013,2733,18,454,156,2052,16274,3383,11955,936,,,,,,,,,,
TENNESSEE,2013,38063,335,1904,7333,27895,207683,51334,144443,11906,,,,,,,,,,
TEXAS,2013,108757,1140,7610,31810,65351,862289,191062,605440,65787,,,,,,,,,,
UTAH,2013,6644,51,926,1247,3824,88334,13727,67115,7492,,,,,,,,,,
VERMONT,2013,775,10,113,75,554,13882,3352,10193,337,,,,,,,,,,
VIRGINIA,2013,16355,320,1476,4574,9111,171558,26717,136215,8626,,,,,,,,,,
WASHINGTON,2013,20223,167,2072,5829,11623,259139,58487,172227,28425,,,,,,,,,,
WEST VIRGINIA,2013,5657,62,367,653,4242,39929,9908,28055,1966,,,,,,,,,,
WISCONSIN,2013,16118,163,1308,4834,9285,125694,24358,93946,7390,,,,,,,,,,
WYOMING,2013,1212,17,144,74,917,12809,1956,10275,578,,,,,,,,,,
ALABAMA,2014,20727,276,1436,4701,13745,154094,39715,104238,10141,,,,,,,,,,
ALASKA,2014,4684,41,555,629,3243,20334,3150,15445,1739,,,,,,,,,,
ARIZONA,2014,26916,319,2464,6249,16970,215240,43562,154091,17587,,,,,,,,,,
ARKANSAS,2014,14243,165,1182,2050,10265,99018,24790,68627,5601,,,,,,,,,,
CALIFORNIA,2014,153709,1699,8398,48680,91803,947192,202670,592670,151852,,,,,,,,,,
COLORADO,2014,16554,151,2121,3039,10325,135510,23472,99464,12574,,,,,,,,,,
CONNECTICUT,2014,8522,86,571,3159,4495,69070,11955,51005,6110,,,,,,,,,,
DELAWARE,2014,4576,54,249,1269,2867,27900,5768,20865,1267,,,,,,,,,,
FLORIDA,2014,107521,1149,6051,24914,72895,679446,143220,493647,42579,,,,,,,,,,
GEORGIA,2014,38097,580,2159,12417,22052,331316,76428,228034,26854,,,,,,,,,,
HAWAII,2014,3680,26,314,1107,2102,43297,7778,31640,3879,,,,,,,,,,
IDAHO,2014,3468,32,468,204,2623,30316,6428,22227,1661,,,,,,,,,,
ILLINOIS,2014,47663,685,3081,15299,27520,267385,50008,199926,17451,,,,,,,,,,
INDIANA,2014,24099,330,1615,6897,14686,174776,36893,124022,13861,,,,,,,,,,
IOWA,2014,8497,60,828,1045,6264,65056,14428,46477,4151,,,,,,,,,,
KANSAS,2014,10123,91,1075,1362,7259,79431,15828,56697,6906,,,,,,,,,,
KENTUCKY,2014,9340,160,883,3336,4404,99166,23244,69604,6318,,,,,,,,,,
LOUISIANA,2014,23934,477,992,5695,16387,160824,38337,112596,9891,,,,,,,,,,
MAINE,2014,1700,21,360,304,890,26421,5030,20592,799,,,,,,,,,,
MARYLAND,2014,26661,365,1144,9544,15133,149859,28012,108745,13102,,,,,,,,,,
MASSACHUSETTS,2014,26399,132,1629,6036,18051,125267,24964,92043,8260,,,,,,,,,,
MICHIGAN,2014,42348,535,4049,8021,27519,202547,44184,137206,21157,,,,,,,,,,
MINNESOTA,2014,12505,88,1452,3687,6729,125377,20773,96237,8367,,,,,,,,,,
MISSISSIPPI,2014,8338,258,764,2430,4592,87462,24352,58591,4519,,,,,,,,,,
MISSOURI,2014,26856,403,1706,5592,18482,176237,35258,124622,16357,,,,,,,,,,
MONTANA,2014,3313,37,430,203,2532,25312,3595,19674,2043,,,,,,,,,,
NEBRASKA,2014,5275,54,620,1043,3316,47479,7950,35074,4455,,,,,,,,,,
NEVADA,2014,18045,170,995,5954,10564,74538,21927,42426,10185,,,,,,,,,,
NEW HAMPSHIRE,2014,2602,12,458,537,1459,26041,4162,21022,857,,,,,,,,,,
NEW JERSEY,2014,23346,349,953,10498,11225,154993,31710,111578,11705,,,,,,,,,,
NEW MEXICO,2014,12459,101,1071,2086,8797,73877,18505,49082,6290,,,,,,,,,,
NEW YORK,2014,75398,617,3918,24045,45303,339282,50781,272765,15736,,,,,,,,,,
NORTH CAROLINA,2014,32767,510,1740,8416,21421,285697,79373,192694,13630,,,,,,,,,,
NORTH DAKOTA,2014,1960,22,276,173,1407,15605,2707,11384,1514,,,,,,,,,,
OHIO,2014,33030,464,4097,12753,14771,324528,78845,227668,18015,,,,,,,,,,
OKLAHOMA,2014,15744,175,1277,3048,10744,115982,29508,75891,10583,,,,,,,,,,
OREGON,2014,9224,81,1052,2093,5592,114305,17230,87526,9549,,,,,,,,,,
PENNSYLVANIA,2014,40164,614,2787,13534,22189,247016,45720,188256,13040,,,,,,,,,,
RHODE ISLAND,2014,2313,25,253,529,1398,22935,4823,16279,1833,,,,,,,,,,
SOUTH CAROLINA,2014,24052,311,1480,3997,17676,167217,36721,117594,12902,,,,,,,,,,
SOUTH DAKOTA,2014,2786,20,413,200,2096,15902,2818,12077,1007,,,,,,,,,,
TENNESSEE,2014,39848,371,1861,7265,29681,200447,46642,141206,12599,,,,,,,,,,
TEXAS,2014,109414,1184,8236,31181,65656,813934,169234,576154,68546,,,,,,,,,,
UTAH,2014,6346,67,945,1312,3513,84711,11518,65895,7298,,,,,,,,,,
VERMONT,2014,622,10,99,70,432,9551,2034,7273,244,,,,,,,,,,
VIRGINIA,2014,16340,338,1432,4292,9400,160720,23122,129933,7665,,,,,,,,,,
WASHINGTON,2014,20136,174,2171,5640,11627,261706,55290,175769,30647,,,,,,,,,,
WEST VIRGINIA,2014,5588,74,285,651,4358,37648,8973,26779,1896,,,,,,,,,,
WISCONSIN,2014,16714,165,1168,5066,9809,120238,21216,89103,9919,,,,,,,,,,
WYOMING,2014,1142,16,126,53,899,11477,1689,9185,603,,,,,,,,,,
ALABAMA,2015,22952,348,1456,4611,15954,144746,35255,99156,10335,,,,,,,,,,
ALASKA,2015,5392,59,650,761,3671,20806,3511,15249,2046,,,,,,,,,,
ARIZONA,2015,28012,309,2294,6360,18235,207107,37957,152365,16785,,,,,,,,,,
ARKANSAS,2015,15526,181,1300,2098,11316,96836,22640,68424,5772,,,,,,,,,,
CALIFORNIA,2015,166883,1861,9387,52862,99349,1024914,197404,656517,170993,,,,,,,,,,
COLORADO,2015,17515,176,2377,3323,10759,144136,23454,104682,16000,,,,,,,,,,
CONNECTICUT,2015,7845,117,582,2892,4063,65066,10053,48675,6338,,,,,,,,,,
DELAWARE,2015,4720,63,243,1235,3081,25455,4773,19501,1181,,,,,,,,,,
FLORIDA,2015,93626,1041,5430,21137,63895,570270,109268,420341,40661,,,,,,,,,,
GEORGIA,2015,38643,615,2296,12247,22557,308723,66374,215867,26482,,,,,,,,,,
HAWAII,2015,4201,19,400,1203,2418,54346,6557,42010,5779,,,,,,,,,,
IDAHO,2015,3568,32,533,192,2650,28858,6124,20863,1871,,,,,,,,,,
ILLINOIS,2015,49354,744,3549,14910,28879,255729,46443,191634,17652,,,,,,,,,,
INDIANA,2015,25653,373,1789,7111,15765,171847,34410,123918,13519,,,,,,,,,,
IOWA,2015,8936,72,851,1047,6661,63957,14892,44723,4342,,,,,,,,,,
KANSAS,2015,11353,128,1251,1818,7792,79199,15362,56880,6957,,,,,,,,,,
KENTUCKY,2015,9676,209,997,3307,4668,96362,22260,66320,7782,,,,,,,,,,
LOUISIANA,2015,25208,481,1260,5550,17454,156629,35453,111435,9741,,,,,,,,,,
MAINE,2015,1729,23,354,311,921,24327,4684,18829,814,,,,,,,,,,
MARYLAND,2015,27462,516,1184,9863,15417,139048,25678,100219,13151,,,,,,,,,,
MASSACHUSETTS,2015,26562,128,1608,5288,19071,114871,21890,84912,8069,,,,,,,,,,
MICHIGAN,2015,41231,571,4163,7796,26414,187101,40041,131296,15764,,,,,,,,,,
MINNESOTA,2015,13319,133,1686,3771,7094,121984,19299,94704,7981,,,,,,,,,,
MISSISSIPPI,2015,8254,259,862,2294,4498,84790,24799,55748,4243,,,,,,,,,,
MISSOURI,2015,30261,502,1854,6376,20830,173642,34006,122637,16999,,,,,,,,,,
MONTANA,2015,3611,36,431,210,2818,27100,3838,20844,2418,,,,,,,,,,
NEBRASKA,2015,5212,62,652,994,3283,42495,6422,32072,4001,,,,,,,,,,
NEVADA,2015,20118,178,1238,6287,11965,77137,22360,43426,11351,,,,,,,,,,
NEW HAMPSHIRE,2015,2652,14,461,468,1543,23229,3467,18871,891,,,,,,,,,,
NEW JERSEY,2015,22879,363,1019,9729,11414,145701,27960,105963,11778,,,,,,,,,,
NEW MEXICO,2015,13681,117,1215,2485,9407,77094,17085,51483,8526,,,,,,,,,,
NEW YORK,2015,,,,,,,,,,,,,,,,,,,
NORTH CAROLINA,2015,34852,517,1939,8825,22826,276183,74841,187907,13435,,,,,,,,,,
NORTH DAKOTA,2015,1812,21,276,148,1298,16020,2997,11440,1583,,,,,,,,,,
OHIO,2015,33898,500,4154,12554,15695,300525,69303,213993,17229,,,,,,,,,,
OKLAHOMA,2015,16506,234,1352,3005,11418,112878,28406,74022,10450,,,,,,,,,,
OREGON,2015,10468,99,1164,2146,6630,118719,18336,89836,10547,,,,,,,,,,
PENNSYLVANIA,2015,40339,658,3122,13003,22373,232085,39664,180287,12134,,,,,,,,,,
RHODE ISLAND,2015,2562,29,338,556,1518,20043,3947,14707,1389,,,,,,,,,,
SOUTH CAROLINA,2015,24700,399,1707,3931,18073,161245,34551,113724,12970,,,,,,,,,,
SOUTH DAKOTA,2015,3289,32,441,216,2546,16680,2960,12532,1188,,,,,,,,,,
TENNESSEE,2015,40400,406,1966,7474,29844,193796,43247,137679,12870,,,,,,,,,,
TEXAS,2015,113227,1316,8925,31934,67727,777739,153054,557200,67485,,,,,,,,,,
UTAH,2015,7071,54,1098,1326,4046,89278,12468,68103,8707,,,,,,,,,,
VERMONT,2015,739,10,121,101,492,8806,1968,6660,178,,,,,,,,,,
VIRGINIA,2015,16399,383,1493,4441,9235,156470,21340,127019,8111,,,,,,,,,,
WASHINGTON,2015,20394,211,2193,5449,12029,248369,50993,170509,26867,,,,,,,,,,
WEST VIRGINIA,2015,6231,70,420,760,4729,37251,9170,25842,2239,,,,,,,,,,
WISCONSIN,2015,17647,240,1224,5232,10395,113924,19554,83385,10985,,,,,,,,,,
WYOMING,2015,1302,16,125,59,1054,11151,1762,8797,592,,,,,,,,,,
ALABAMA,2016,25878,407,,4687,18869,143259,34045,97498,11716,,,,,,,,,,
ALASKA,2016,5966,52,,850,4011,24876,4053,17766,3057,,,,,,,,,,
ARIZONA,2016,32542,389,,7045,21804,207317,38216,150618,18483,,,,,,,,,,
ARKANSAS,2016,16563,217,,2125,12007,98092,23814,67091,7187,,,,,,,,,,
CALIFORNIA,2016,174796,1930,,54789,104375,1002070,188304,637010,176756,,,,,,,,,,
COLORADO,2016,19030,189,,3525,11681,152146,23825,108680,19641,,,,,,,,,,
CONNECTICUT,2016,8169,79,,2711,4588,64875,10107,47642,7126,,,,,,,,,,
DELAWARE,2016,4859,58,,1359,3131,26370,5028,19812,1530,,,,,,,,,,
FLORIDA,2016,88700,1111,,20175,59816,553812,100325,410352,43135,,,,,,,,,,
GEORGIA,2016,40268,682,,12114,24091,307305,62715,218127,26463,,,,,,,,,,
HAWAII,2016,3452,35,,985,1831,42353,5983,30871,5499,,,,,,,,,,
IDAHO,2016,3876,49,,213,2895,29357,6318,20962,2077,,,,,,,,,,
ILLINOIS,2016,56054,1061,,17829,32161,263256,48193,195196,19867,,,,,,,,,,
INDIANA,2016,26516,431,,7291,16345,168460,33567,120454,14439,,,,,,,,,,
IOWA,2016,9170,73,,1150,6669,65888,15306,45580,5002,,,,,,,,,,
KANSAS,2016,11665,132,,1757,8158,82293,14759,60119,7415,,,,,,,,,,
KENTUCKY,2016,10452,265,,3371,5068,97713,20932,66833,9948,,,,,,,,,,
LOUISIANA,2016,26477,555,,5575,18528,154511,34689,109492,10330,,,,,,,,,,
MAINE,2016,1649,20,,268,948,21908,4001,17131,776,,,,,,,,,,
MARYLAND,2016,29019,536,,10815,15841,139716,24832,100995,13889,,,,,,,,,,
MASSACHUSETTS,2016,25975,135,,5365,18334,106430,19204,79155,8071,,,,,,,,,,
MICHIGAN,2016,45782,612,,7123,30779,190249,39738,130249,20262,,,,,,,,,,
MINNESOTA,2016,13365,101,,3730,7185,117723,18582,90421,8720,,,,,,,,,,
MISSISSIPPI,2016,8411,237,,2433,4459,82521,23489,54725,4307,,,,,,,,,,
MISSOURI,2016,31720,538,,6576,22049,170661,31716,120649,18296,,,,,,,,,,
MONTANA,2016,3886,37,,268,2983,28156,3966,21427,2763,,,,,,,,,,
NEBRASKA,2016,5661,49,,946,3558,43197,6459,32009,4729,,,,,,,,,,
NEVADA,2016,19924,228,,6338,11629,75922,18816,43949,13157,,,,,,,,,,
NEW HAMPSHIRE,2016,2668,19,,431,1609,20323,2989,16454,880,,,,,,,,,,
NEW JERSEY,2016,21861,378,,8940,11089,138012,25229,101459,11324,,,,,,,,,,
NEW MEXICO,2016,14585,139,,2737,10182,81930,17280,52907,11743,,,,,,,,,,
NEW YORK,2016,74315,629,,22310,45095,305224,39850,250990,14384,,,,,,,,,,
NORTH CAROLINA,2016,37767,678,,9336,24906,277765,72082,190377,15306,,,,,,,,,,
NORTH DAKOTA,2016,1905,16,,181,1352,17451,3248,12249,1954,,,,,,,,,,
OHIO,2016,35759,683,,12574,16748,300945,67081,214102,19762,,,,,,,,,,
OKLAHOMA,2016,17855,247,,3174,12334,118010,29376,76358,12276,,,,,,,,,,
OREGON,2016,10983,116,,2307,6776,121716,16919,91507,13290,,,,,,,,,,
PENNSYLVANIA,2016,40389,674,,12314,22942,222394,35178,174147,13069,,,,,,,,,,
RHODE ISLAND,2016,2529,29,,541,1514,18910,3650,14157,1103,,,,,,,,,,
SOUTH CAROLINA,2016,25137,358,,4071,18217,161534,33149,114455,13930,,,,,,,,,,
SOUTH DAKOTA,2016,3636,28,,274,2808,17207,3002,12705,1500,,,,,,,,,,
TENNESSEE,2016,42459,495,,7829,31332,191199,40607,135353,15239,,,,,,,,,,
TEXAS,2016,121064,1478,,33298,72842,769892,148796,552106,68990,,,,,,,,,,
UTAH,2016,7406,74,,1528,4244,90561,12938,68261,9362,,,,,,,,,,
VERMONT,2016,851,14,,78,589,9705,1884,7637,184,,,,,,,,,,
VIRGINIA,2016,18495,482,,4826,10357,157292,20159,127285,9848,,,,,,,,,,
WASHINGTON,2016,22101,195,,5649,13124,254994,49249,173423,32322,,,,,,,,,,
WEST VIRGINIA,2016,6633,85,,720,5144,37282,9127,25657,2498,,,,,,,,,,
WISCONSIN,2016,17716,232,,4707,10772,111911,19498,82455,9958,,,,,,,,,,
WYOMING,2016,1431,20,,59,1146,11460,1771,8889,800,,,,,,,,,,
